x,y,z,yaw_deg,gimbal_pitch_deg,hold_sec,tag
-97.408805847168,67.4708023071289,13.85313296318054,0.0,-90.0,3.0,senior_wp_001_action_1
-93.9238967895508,104.279998779297,19.55043983459473,0.0,-90.0,3.0,senior_wp_002_action_1
-90.42,102.69,19.87,-174.18,0.0,3.0,senior_wp_003_action_2
-105.133010864258,99.5533096313477,28.13635,0.0,-45.0,3.0,senior_wp_004
-105.323,99.9784,26.2934,-90.04,-90.0,3.0,senior_wp_005_action_1
-74.4421997070313,73.9961166381836,31.5347354888916,0.0,-90.0,3.0,senior_wp_006_action_1
-62.38,75.33,20.64,-177.62,0.0,3.0,senior_wp_007_action_2
-63.38,76.33,14.64,-177.62,-90.0,3.0,senior_wp_008_action_1
-78.7931213378906,108.420379638672,10.49909782409668,0.0,-90.0,3.0,senior_wp_009_action_1
