x,y,z,yaw_deg,gimbal_pitch_deg,hold_sec,tag
-97.408806,67.470802,13.853133,0.00,-90.00,3.00,project_wp_1_action_1
-93.923897,104.279999,19.550440,0.00,-90.00,3.00,project_wp_2_action_1
-90.420000,102.690000,19.870000,-174.18,0.00,3.00,project_wp_3_action_2
-105.133011,99.553310,28.136350,0.00,-45.00,3.00,project_wp_4
-105.323000,99.978400,26.293400,-90.04,-90.00,3.00,project_wp_5_action_1
-74.442200,73.996117,31.534735,0.00,-90.00,3.00,project_wp_6_action_1
-62.380000,75.330000,20.640000,-177.62,0.00,3.00,project_wp_7_action_2
-63.380000,76.330000,14.640000,-177.62,-90.00,3.00,project_wp_8_action_1
-78.793121,108.420380,10.499098,0.00,-90.00,3.00,project_wp_9_action_1
