x,y,mission_type,target_speed
-120.36252764327848,36.03555436034368,1,0.5
-126.12116513749258,46.650538629829526,1,0.5
-131.5354213347476,61.829714929681145,2,0.0
-129.23,69.36,3,0.5
-120.85,73.20,3,0.5
-117.45,73.15,3,0.5
-113.63,72.64,3,0.5
-104.97,77.01,3,0.5
-91.79826864564136,86.60130830786362,3,0.5
-90.89157420844019,87.52730344096803,3,0.5
-89.98778443108651,88.45616297736306,3,0.5
-89.23462628313393,89.23021259087176,3,0.5
-88.33083650552311,90.15907212701609,3,0.5
-87.35173091381272,91.16533662440428,3,0.5
-86.44974653623574,92.09315873152862,3,0.5
-85.70147555212472,92.87161810587305,3,0.5
-84.80393129736574,93.8058060860876,3,0.5
-83.87610688241972,94.70853109946182,3,0.5
-83.07804766044815,95.43619789207237,3,0.5
-82.12101466864584,96.31027506112946,3,0.5
-81.0845250279901,97.25747026137583,3,0.5
-80.1265950271756,98.12972052285281,3,0.5
-79.27024303249179,98.78382916439111,3,0.5
-78.14095432862212,99.41394227296469,3,0.5
-76.98861697252367,99.71496215910176,3,0.5
-75.94106169711091,99.7943518293961,3,0.5
-74.71308919274297,99.32706528297024,3,0.5
-73.79019037925232,98.8108480917383,3,0.5
-72.8118115016151,98.56185977794706,3,0.5
-71.41072154443641,98.64096552683569,3,0.5
-70.11820993052127,98.73695746092679,3,0.5
-68.83536562924722,98.83223875849792,3,0.5
-57.949,101.780,4,0.5
